模板ID,名称,品级,描述,装备类型,类型,子类型,占用格子,门派ID,五行,秘籍ID,可奇遇获取,非公开,门派内排序,使用需求,正练效果ID,逆练效果ID,继承造诣加成比例,修习类型,突破盘ID,走火入魔内伤,走火入魔受伤部位,走火入魔伤害值,走火入魔气乱,可获得内力总量,每循环获得内力,循环目标类型,循环转化类型,每循环五行变化,特定格子,通用格子,命中值,闪避值,穿透,穿透抵抗,架势提气恢复,移动速度,破绽恢复,施展速度,封穴恢复,切换武器速度,攻击速度,内功比例,气乱恢复,毒抗,准备总进度,需求身体部位,脚力消耗,提气架势总消耗,基础内功比例,内功比例变化范围,穿透值,施展时额外距离,式消耗,武器耐久消耗,移动力消耗,最适武器ID,固定最佳武器ID,受伤部位攻击比例分布,总命中,每击伤害比例分布,有攻击封穴效果,有攻击破绽效果,毒素,装备破坏几率,增加移动力类型,增加破体特性,施展时增加移动速度,施展时增加移动速度百分比,移动冷却加成,施展时增加命中,脚力减少速度,脚力增加速度,移动消耗脚力,最大跳跃距离,跳跃准备帧,可部分跳跃,跳跃距离变化帧,跳跃距离变化持续,分数加成类型,分数加成,施展时增加外功穿透抵抗,施展时增加内功穿透抵抗,施展时增加闪避,反击伤害,外伤反弹率,内伤反弹率,持续帧,反弹距离,属性加成列表,外伤步骤,内伤步骤,致命伤步骤,心神伤步骤,可能真气策略列表,额外内力分配进度,循环加成技能列表,真气策略生成概率,无效突破加成类型,正练效果,逆练效果
10,阿罗汉神功,6,形如枯槁力千斤，肉眼凡胎观精神，功力所至，伤痛消弭，百邪退避，诸般绝艺亦无师自通，无念自成，此即是阿罗汉神功。,0,内功,Invalid,3,1,0,154,true,false,6,属性2=60; 属性3=130; 属性80=400; 属性63=400,6,732,4,2,6,false,"2, 0, 1",3,400,630,84,0,1,3,"3, 0, 3, 3",0,"2, 2, 2, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,40,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",110,45,"7, 18","9, 0, 9, 9, 0","16, 19, 23, 24, 26, 28, 31, 32, 35",32,"16, 17",运用者的「佛学」造诣越高，运用者在战斗中进行「疗伤」时能够治愈的伤势标记就越多,运用者的「佛学」造诣越高，运用者在战斗中进行「驱毒」时能够驱除的毒素就越多
11,易筋经,7,达摩祖师所传，乃是强健筋骨，激发人身体无限潜力之无上外壮神功。正是：“易筋功已毕，便成金刚体。外感不能侵，饮食不为积”。,0,内功,Invalid,3,1,5,155,true,false,7,属性2=95; 属性3=110; 属性80=450; 属性63=450,7,733,4,2,7,false,"2, 0, 1, 3, 4, 5, 6",3,450,720,96,-1,-1,3,"2, 0, 5, 0",2,"0, 0, 0, 0","0, 0, 0, 0","外:2, 内:0","外:2, 内:0","外:1, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,60,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",130,60,"8, 17","6, 0, 15, 0, 6",loopBonusSkillList,36,"16, 17",战斗开始时，大幅增加运用者的「护体」真气；大幅提高运用者的「护体」真气在战斗中的获得量；大幅降低运用者的「护体」真气在战斗中的损耗量,战斗开始时，大幅减少敌人及其助战的同道的「护体」真气；大幅降低敌人的「护体」真气在战斗中的获得量；大幅提高敌人的「护体」真气在战斗中的损耗量
12,洗髓经,8,经云：“浃骨更洽髓，脱壳飞身去。渐几浑化天，末后究竟地”。洗髓经乃是达摩祖师所传之内涤元神，令人脱胎换骨的无上内壮神功。,0,内功,Invalid,3,1,5,156,true,true,8,属性2=110; 属性4=110; 属性80=500; 属性63=500,8,734,5,1,8,true,"2, 0, 1",3,500,810,108,-1,-1,3,"2, 2, 0, 3",2,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:2","外:0, 内:2","外:0, 内:1",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",160,80,"8, 17","3, 6, 0, 9, 9",loopBonusSkillList,40,"16, 17",增加运用者所有的主要属性的上限，且运用者所受直接外伤重创伤害降低50%；如果运用者为童子之身，小幅提高运用者所有功法的威力，且可使运用者青春不老,战斗开始时，运用者的所有真气变化为初始值的2倍，且运用者所受非外伤的重创伤害加倍；如果运用者为童子之身，小幅提高运用者所有功法的威力，且可使运用者青春不老
13,丹田开合功,0,气沉下丹田，乃成混元力。丹田开合之功法，内修外炼兼而有之，是引元精经过大小周天运转而化为元气的秘诀。,0,内功,Invalid,1,2,1,157,true,false,0,属性2=50; 属性4=50; 属性80=100; 属性62=80; 属性63=80,9,735,1,0,0,true,1,1,100,90,12,1,1,1,"0, 1, 0, 2",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,1,1,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",20,5,"0, 9","0, 3, 0, 6, 0","4, 7, 11, 12, 23, 24, 26, 28, 31, 32, 35",8,"16, 17",小幅增加运用者的「峨眉派」功法的威力上限,降低运用者的「峨眉派」功法的发挥需求
14,峨眉十二桩,1,十二桩功动静合一，阴阳相济，集道法、佛学、医术之奥妙于一体。不仅能够调理腑脏，增强内息，更能安定心神，修心养性。,0,内功,Invalid,1,2,1,158,true,false,1,属性2=60; 属性5=55; 属性80=150; 属性62=120; 属性63=120,10,736,1,0,1,true,"0, 1, 5, 6",1,150,180,24,1,1,1,"0, 2, 1, 0",0,"0, 0, 0, 0","0, 0, 1, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,70,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",30,10,"16, 29","0, 6, 3, 0, 0","4, 7, 11, 12, 23, 24, 26, 28, 31, 32, 35",12,"16, 17",运用者的「紫霞」内力比例越高，运用者的御体、御气就提高越多,运用者的「紫霞」内力比例越高，运用者的破体、破气就提高越多
15,先天一元气功,2,先天一元气功正心明智，固本培元，功力用之不竭，生生不灭。乃是吸收天地间的先天一气而化为自身阳元的玄门正法。,0,内功,Invalid,1,2,1,159,true,false,2,属性2=50; 属性4=80; 属性80=200; 属性62=160; 属性63=160,11,737,2,1,2,true,"2, 0, 1",1,200,270,36,1,1,1,"2, 0, 1, 0",0,"0, 1, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",40,15,"2, 11","6, 0, 3, 0, 0","4, 7, 11, 12, 23, 24, 26, 28, 31, 32, 35",16,"16, 17",运用者的「紫霞」类功法会对内力属性为「归元」的人物造成更多直接伤害、反噬伤害,运用者的「紫霞」类功法会对内力属性为「金刚」的人物造成更多直接伤害、反噬伤害
16,灵悟功,3,顺应天地自然而得“灵悟”，乃为灵悟功。灵悟功返本归元，似有似无，时而纵情，时而无欲，乃是内窥真我之法门。,0,内功,Invalid,2,2,5,160,true,false,3,属性2=65; 属性5=80; 属性80=250; 属性62=200; 属性63=200,12,738,2,0,3,true,2,2,250,360,48,-1,-1,2,"2, 0, 0, 2",2,"0, 0, 1, 0","0, 0, 2, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",50,20,"0, 9","6, 0, 0, 6, 6",loopBonusSkillList,20,"16, 17",运用者至少拥有5个可用的式，且对方至少有一个封穴或破绽标记时：根据运用者的当前灵敏降低敌人破绽、封穴的消退速度，且运用者的当前灵敏会随时间持续消耗,敌人至少拥有5个可用的式，且运用者至少有一个封穴或破绽标记时：根据运用者的当前灵敏提高运用者破绽、封穴的消退速度，且运用者的当前灵敏会随时间持续消耗
17,莲花太玄功,4,“玄法证妙谛，坐卧莲花里，污秽不能染，风波不可欺”。莲花太玄功祛浊还清，纯粹自然。功成者面若朝霞，百害不侵。,0,内功,Invalid,2,2,1,161,true,false,4,属性2=50; 属性4=55; 属性5=55; 属性80=300; 属性62=240; 属性63=240,13,739,3,1,4,true,"2, 0, 1",2,300,450,60,1,1,2,"2, 3, 1, 0",0,"0, 0, 1, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",1,1,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",70,25,"7, 19","6, 9, 3, 0, 0","4, 7, 11, 12, 23, 24, 26, 28, 31, 32, 35",24,"16, 17",将运用者的「纯阳」内力转化为「紫霞」内力，转化的比例越多，运用者的「紫霞」类功法的威力就提高越多；如果运用者原本没有「纯阳」内力，运用者不会被「纯阳」、「紫霞」类功法命中要害,将运用者的「金刚」内力转化为「紫霞」内力，转化的比例越多，运用者的「紫霞」类功法的威力就提高越多；如果运用者原本没有「金刚」内力，运用者不会被「金刚」、「紫霞」类功法命中要害
18,普贤心经,5,普贤心经德无不周，调柔善顺，共有“十功”、“十忍”、“六伏”、“四通”等诸般法门，当真是：“宝威来赞娑婆化，灵感神通震大千”。,0,内功,Invalid,2,2,1,162,true,false,5,属性2=85; 属性4=45; 属性5=45; 属性80=350; 属性62=280; 属性63=280,14,740,3,0,5,true,"2, 0, 1",2,350,540,72,1,1,2,"1, 2, 3, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 2, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",90,35,"1, 10","3, 6, 9, 0, 0","4, 7, 11, 12, 23, 24, 26, 28, 31, 32, 35",28,"16, 17",运用者的「紫霞」内力比例越高，运用者的卸力、拆招、闪避、守心就提高越多,运用者的「紫霞」内力比例越高，运用者的力道、精妙、迅疾、动心就提高越多
19,坐忘玄功,6,坐忘玄功诀无定诀，式无定式，形无定形，意无定意，正是：“堕肢体，黜聪明，离形去知，同于大通，此谓坐忘”。,0,内功,Invalid,3,2,5,163,true,false,6,属性2=70; 属性5=120; 属性80=400; 属性62=320; 属性63=320,15,741,4,1,6,true,2,3,400,630,84,-1,-1,3,"0, 3, 0, 5",1,"1, 1, 1, 0","0, 0, 0, 0","外:1, 内:1","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",110,45,"6, 15","0, 9, 0, 15, 3",loopBonusSkillList,32,"16, 17",小幅增加运用者的「紫霞」类功法的威力；可在施展「紫霞」类功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，提高「紫霞」类功法50%的施展进度，最多将施展进度提高至75%,降低运用者的「紫霞」类功法的提气、架势消耗；可在施展「紫霞」类功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，增加「紫霞」类功法的威力
20,大般涅槃法,7,诸法皆有生灭，神功亦复轮回，大般涅槃法寂而不败，死而后生，功力先衰而后盛，愈灭则愈强，几近佛陀无余涅槃之神通也。,0,内功,Invalid,3,2,1,164,true,true,7,属性2=80; 属性4=65; 属性5=60; 属性80=450; 属性62=360; 属性63=360,16,742,4,1,7,true,"2, 0, 1, 3, 4, 5, 6",3,450,720,96,1,1,3,"0, 0, 2, 4",3,"0, 0, 0, 0","0, 0, 1, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,2,2,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",130,60,"6, 15","0, 0, 6, 12, 9","4, 7, 11, 12, 23, 24, 26, 28, 31, 32, 35",36,"16, 17",运用者所有前世的「名誉」越高，运用者所有功法的威力就提高越多；如果运用者拥有九世轮回善果，额外提高运用者所有功法的威力,运用者所有前世的「名誉」越低，运用者所有功法的威力就提高越多；如果运用者拥有九世轮回恶果，额外提高运用者所有功法的威力
21,铜人腧穴图经,0,铜人腧穴图经将人体三百五十四个穴名按十二经脉的顺序依次排列，并附有图解、针炙铜人像，乃是习武者寻穴辨脉的重要依据。,0,内功,Invalid,1,3,2,165,true,false,0,属性2=25; 属性5=75; 属性80=100; 属性58=100,17,743,1,0,0,true,"2, 0, 1, 3, 4, 5, 6",1,100,90,12,2,1,1,"0, 3, -1, 0",1,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:1","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,70,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",30,0,"1, 10","0, 9, 0, 0, 3","4, 7, 11, 12, 16, 19, 26, 28, 31, 32, 35",8,"19, 16, 17",增加运用者的「百花谷」功法的威力上限,降低运用者的「百花谷」功法的发挥需求
22,九针十二原,1,九针十二原专修用针顺逆之法、诊脉望气之术、清浊运行之道，讲究“虚则实之，满则泄之”，因记载了九种针具、十二原穴而得名。,0,内功,Invalid,1,3,2,166,true,false,1,属性2=35; 属性5=80; 属性80=150; 属性58=150,18,744,1,0,1,true,"2, 0, 1, 3, 4, 5, 6",1,150,180,24,2,1,1,"0, 0, 3, -1",1,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:1","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,60,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",40,0,"16, 32","0, 0, 9, 0, 3","4, 7, 11, 12, 16, 19, 26, 28, 31, 32, 35",12,"19, 16, 17",大幅提高运用者在战斗中「疗伤」的速度,大幅降低敌人在战斗中「疗伤」的速度
23,甲乙全篇,2,甲乙全篇乃各类医书之纲要，对人体血气之由来、经脉之起止、诸穴之位置、百病之生发等论述删繁就简，去芜存菁，继先人之所长，开未来之所往。,0,内功,Invalid,1,3,5,167,true,false,2,属性2=65; 属性5=65; 属性80=200; 属性58=200,19,745,2,1,2,true,1,1,200,270,36,-1,-1,1,"0, -1, 0, 3",1,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,1,1,"0, 0, 0, 0, 0, 0",0,list,0,0,100,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",50,0,"0, 9","0, 0, 0, 9, 3",loopBonusSkillList,16,"19, 16, 17",减少运用者身体上的每个部位最多可被封闭的穴道数量,大幅减少运用者身体上的每个部位最多可被封闭的穴道数量，但如果运用者至少被封闭了3个穴道，运用者造成的直接内伤也会降低
24,内经灵枢篇,3,“法往古者，先知《针经》”。内经灵枢篇又称《黄帝针经》，经络、刺灸之说由此滥觞，其理深入浅出，涵盖广泛，乃医者用针之根基。,0,内功,Invalid,2,3,5,168,true,false,3,属性2=45; 属性5=100; 属性80=250; 属性58=250,20,746,2,1,3,true,1,2,250,360,48,-1,-1,2,"0, 0, 3, 1",2,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:1","外:0, 内:1","外:0, 内:1",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",70,0,"2, 11","0, 0, 9, 3, 6",loopBonusSkillList,20,"19, 16, 17",大幅提高运用者在战斗中进行「疗伤」时能够治愈的伤势标记数量,大幅降低敌人在战斗中进行「疗伤」时能够治愈的伤势标记数量
25,金针伐脉功,4,金针伐脉功乃是以金针刺入人体诸穴之中，洗净骨髓，涤荡经脉，使人灵根固存，神府清畅，蕴气于内，御敌于外的奇术。,0,内功,Invalid,2,3,2,169,true,true,4,属性2=50; 属性5=110; 属性80=300; 属性58=300,21,747,3,1,4,true,"2, 0, 1, 3, 4, 5, 6",2,300,450,60,2,1,2,"0, 3, 0, 1",2,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,1,1,0,0,0,0,"0, 0, 0, 1, 0, 0",0,list,0,0,100,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",90,0,"7, 20","0, 9, 0, 3, 6","4, 7, 11, 12, 16, 19, 26, 28, 31, 32, 35",24,"19, 16, 17",运用者至少有3个破绽或封穴时：根据运用者的当前根骨增加运用者的移动速度、攻击速度、施展速度、调息吐纳，且运用者的当前根骨会随时间持续消耗,敌人至少有3个破绽或封穴时：根据运用者的当前根骨减少敌人的移动速度、攻击速度、施展速度、调息吐纳，且运用者的当前根骨会随时间持续消耗
26,武当太和功,0,武当太和功以意催气，静中有动，讲求神气合一，身心相融，行走坐卧之时，皆可修炼，故为武当弟子稳固根基的重要法门。,0,内功,Invalid,1,4,5,170,true,false,0,属性2=35; 属性4=65; 属性80=100; 属性62=100,22,748,1,0,0,true,"0, 1",1,100,90,12,-1,-1,1,"0, 0, 1, 2",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:1",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",20,5,"40, 40","0, 0, 3, 6, 0",loopBonusSkillList,8,"16, 17",增加运用者的「武当派」功法的威力上限,降低运用者的「武当派」功法的发挥需求
27,抱元守一,1,所谓：“纯素之道，唯神是守，守而勿失，与神为一”。抱元守一之法能去除心中杂念，使修习者达到精神内守、真气和顺的境界。,0,内功,Invalid,1,4,3,171,true,false,1,属性2=45; 属性4=70; 属性80=150; 属性62=150,23,749,1,0,1,true,"0, 1",1,150,180,24,3,1,1,"0, 0, 2, 1",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:1","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",30,10,"0, 9","0, 0, 6, 3, 0","4, 7, 11, 12, 16, 19, 23, 24, 35",12,"16, 17",小幅增加运用者的「纯阳」类功法的威力,降低运用者的「纯阳」类功法的提气、架势消耗
28,一字混元桩,2,一字混元桩乃武当开派真人所传，修习时需独立守神，意沉丹田，如此，方能锻炼形、意、气、力，使形体不敝，精神不散。,0,内功,Invalid,1,4,5,172,true,false,2,属性2=65; 属性4=65; 属性80=200; 属性62=200,24,750,2,0,2,true,"0, 1, 5, 6",1,200,270,36,-1,-1,1,"0, 2, 0, 1",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:1","外:0, 内:1","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,70,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",40,15,"2, 11","0, 6, 0, 3, 0",loopBonusSkillList,16,"16, 17",运用者仅消耗提气时，会恢复等比例的架势,运用者仅消耗架势时，会恢复等比例的提气
29,罗天真诀十二桩,3,罗天，即天之最高处。罗天真诀十二桩刚柔并济，动静结合，能开通经络，补养诸脉，使阴阳平衡，真气自聚，故以无先无上、包罗诸天的大罗天为名。,0,内功,Invalid,2,4,3,173,true,false,3,属性2=55; 属性3=30; 属性4=60; 属性80=250; 属性62=250,25,751,2,0,3,true,"2, 0, 1, 5, 6",2,250,360,48,3,1,2,"2, 3, 1, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:2","外:0, 内:1","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,70,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",50,20,"16, 35","6, 9, 3, 0, 0","4, 7, 11, 12, 16, 19, 23, 24, 35",20,"16, 17",将运用者的「紫霞」内力转化为「纯阳」内力，转化的比例越多，运用者的「纯阳」类功法的威力就提高越多；如果运用者原本没有「紫霞」内力，运用者不会被「紫霞」、「纯阳」类功法命中要害,将运用者的「玄阴」内力转化为「纯阳」内力，转化的比例越多，运用者的「纯阳」类功法的威力就提高越多；如果运用者原本没有「玄阴」内力，运用者不会被「玄阴」、「纯阳」类功法命中要害
